A/C,RO,RU,U,R,UO,O,N
housedust NR,0.1,0.042857143,0.385714286,0.114285714,0.042857143,0.242857143,0.071428571
housedust HR,0.131868132,0.164835165,0.19047619,0.172161172,0.106227106,0.164835165,0.06959707
housedust LR,0.070707071,0.080808081,0.232323232,0.222222222,0.121212121,0.212121212,0.060606061
housedust MR,0.084507042,0.123239437,0.274647887,0.207746479,0.070422535,0.105633803,0.133802817
cottondust HR,0.053435115,0.20610687,0.213740458,0.152671756,0.175572519,0.122137405,0.076335878
cottondust LR,0.088235294,0.117647059,0.264705882,0.176470588,0.080882353,0.139705882,0.132352941
cottondust MR,0.126436782,0.126436782,0.233716475,0.176245211,0.0651341,0.157088123,0.114942529
cottondust KR,0,0,0,1,0,0,0
cottondust NR,0.111675127,0.076142132,0.279187817,0.228426396,0.065989848,0.187817259,0.050761421
aspergilus HR,0.12244898,0.142857143,0.204081633,0.163265306,0.081632653,0.231292517,0.054421769
aspergilus LR,0.124087591,0.087591241,0.306569343,0.197080292,0.072992701,0.145985401,0.065693431
aspergilus MR,0.089430894,0.158536585,0.231707317,0.178861789,0.085365854,0.142276423,0.113821138
aspergilus KR,0,0.5,0,0.25,0.125,0,0.125
aspergilus NR,0.090425532,0.079787234,0.271276596,0.207446809,0.106382979,0.127659574,0.117021277
pollen HR,0.108527132,0.162790698,0.224806202,0.170542636,0.100775194,0.147286822,0.085271318
pollen KR,0,0,0,0,0,1,0
pollen LR,0.079545455,0.125,0.227272727,0.25,0.102272727,0.079545455,0.136363636
pollen MR,0.105263158,0.105263158,0.27244582,0.170278638,0.083591331,0.170278638,0.092879257
pollen NR,0.089285714,0.071428571,0.25,0.267857143,0.035714286,0.214285714,0.071428571
parthenium HR,0.103626943,0.147668394,0.222797927,0.18134715,0.093264249,0.163212435,0.088082902
parthenium LR,0.035714286,0.107142857,0.303571429,0.214285714,0.035714286,0.160714286,0.142857143
parthenium MR,0.110671937,0.106719368,0.260869565,0.181818182,0.090909091,0.150197628,0.098814229
parthenium KR,0,0,0,0,0,1,0
parthenium NR,0.133333333,0.033333333,0.366666667,0.266666667,0.1,0.066666667,0.033333333
cockroach HR,0.109422492,0.124620061,0.246200608,0.170212766,0.094224924,0.127659574,0.127659574
cockroach KR,0,0,0.5,0,0,0.5,0
cockroach LR,0.113924051,0.17721519,0.253164557,0.151898734,0.050632911,0.215189873,0.037974684
cockroach MR,0.08627451,0.133333333,0.231372549,0.231372549,0.082352941,0.17254902,0.062745098
cockroach NR,0.114754098,0.032786885,0.31147541,0.147540984,0.131147541,0.147540984,0.114754098
cat dander HR,0.4,0,0.4,0,0,0.2,0
cat dander LR,0.1,0.3,0.2,0.2,0,0.2,0
cat dander MR,0,0,0.5,0.5,0,0,0
cat dander KR,0.094170404,0.127055306,0.246636771,0.185351271,0.086696562,0.159940209,0.100149477
cat dander NR,0.2,0.075,0.25,0.225,0.15,0.075,0.025
dos fur HR,0,0.571428571,0.142857143,0,0.142857143,0,0.142857143
dos fur KR,0.095611285,0.119122257,0.252351097,0.189655172,0.087774295,0.15830721,0.097178683
dos fur LR,0.172413793,0.172413793,0.172413793,0.172413793,0.172413793,0.068965517,0.068965517
dos fur MR,0.192307692,0.076923077,0.307692308,0.153846154,0.038461538,0.230769231,0
dos fur NR,0.115384615,0.153846154,0.192307692,0.230769231,0.038461538,0.153846154,0.115384615
Milk(P) HR,0.2,0,0.6,0,0,0.2,0
Milk(P) LR,0.066666667,0.146666667,0.32,0.173333333,0.093333333,0.12,0.08
Milk(P) MR,0.222222222,0.111111111,0.25,0.138888889,0.166666667,0.111111111,0
Milk(P) KR,0.085714286,0.047619048,0.114285714,0.133333333,0.133333333,0.095238095,0.39047619
Milk(P) NR,0.100990099,0.140594059,0.261386139,0.205940594,0.073267327,0.176237624,0.041584158
Milk( C ) HR,0,0.4,0.4,0,0,0.2,0
Milk( C ) LR,0.0625,0.125,0.3125,0.0625,0.1875,0.1875,0.0625
Milk( C ) MR,0.444444444,0.333333333,0.222222222,0,0,0,0
Milk( C ) KR,0.098918083,0.120556414,0.241112828,0.194744977,0.083462133,0.157650696,0.103554869
Milk( C ) NR,0.102040816,0.12244898,0.306122449,0.183673469,0.142857143,0.142857143,0
curd HR,0,0.25,0.375,0.375,0,0,0
curd LR,0.053333333,0.12,0.373333333,0.146666667,0.08,0.173333333,0.053333333
curd MR,0.076923077,0.269230769,0.25,0.057692308,0.057692308,0.25,0.038461538
curd KR,0.104895105,0.122377622,0.20979021,0.195804196,0.087412587,0.132867133,0.146853147
curd NR,0.118032787,0.101639344,0.249180328,0.206557377,0.098360656,0.160655738,0.06557377
coffee HR,0,0.25,0.333333333,0.083333333,0,0.333333333,0
coffee LR,0.042253521,0.267605634,0.309859155,0.112676056,0.098591549,0.154929577,0.014084507
coffee MR,0.03125,0.15625,0.21875,0.15625,0.15625,0.25,0.03125
coffee KR,0.09561753,0.109561753,0.233067729,0.207171315,0.087649402,0.139442231,0.12749004
coffee NR,0.201834862,0.082568807,0.275229358,0.165137615,0.073394495,0.183486239,0.018348624
tea KR,0.09762533,0.118733509,0.224274406,0.19525066,0.089709763,0.134564644,0.139841689
tea HR,0.085714286,0.085714286,0.142857143,0.085714286,0.228571429,0.342857143,0.028571429
tea LR,0.094827586,0.198275862,0.293103448,0.137931034,0.043103448,0.181034483,0.051724138
tea MR,0.152777778,0.111111111,0.291666667,0.236111111,0.069444444,0.111111111,0.027777778
tea NR,0.096774194,0.096774194,0.282258065,0.209677419,0.096774194,0.169354839,0.048387097
beef LR,0.074074074,0.074074074,0.37037037,0.148148148,0.111111111,0.111111111,0.111111111
beef MR,0.2,0,0.2,0,0.3,0.2,0.1
beef KR,0.104501608,0.123794212,0.237942122,0.191318328,0.088424437,0.152733119,0.101286174
beef NR,0.074626866,0.179104478,0.298507463,0.194029851,0.044776119,0.194029851,0.014925373
chicken HR,0.181818182,0.090909091,0.272727273,0.090909091,0.272727273,0,0.090909091
chicken LR,0.10619469,0.185840708,0.345132743,0.14159292,0.053097345,0.132743363,0.03539823
chicken MR,0.116666667,0.1,0.283333333,0.183333333,0.1,0.183333333,0.033333333
chicken KR,0.069090909,0.083636364,0.229090909,0.170909091,0.076363636,0.181818182,0.189090909
chicken NR,0.127340824,0.149812734,0.217228464,0.228464419,0.104868914,0.138576779,0.033707865
mutton HR,0.235294118,0.058823529,0.411764706,0.117647059,0,0.117647059,0.058823529
mutton LR,0.115384615,0.141025641,0.282051282,0.153846154,0.153846154,0.141025641,0.012820513
mutton MR,0.045454545,0.166666667,0.242424242,0.212121212,0.121212121,0.166666667,0.045454545
mutton KR,0.088068182,0.113636364,0.238636364,0.207386364,0.068181818,0.139204545,0.144886364
mutton NR,0.126760563,0.131455399,0.23943662,0.164319249,0.093896714,0.187793427,0.056338028
egg HR,0.307692308,0,0.153846154,0.153846154,0.153846154,0.076923077,0.153846154
egg LR,0.063157895,0.136842105,0.273684211,0.157894737,0.126315789,0.168421053,0.073684211
egg MR,0.096385542,0.156626506,0.253012048,0.204819277,0.156626506,0.13253012,0
egg KR,0.074235808,0.096069869,0.266375546,0.15720524,0.048034934,0.15720524,0.200873362
egg NR,0.12745098,0.140522876,0.22875817,0.215686275,0.08496732,0.160130719,0.04248366
fish1 HR,0,0,0.75,0.25,0,0,0
fish1 KR,0.097378277,0.101123596,0.25093633,0.142322097,0.063670412,0.164794007,0.179775281
fish1 LR,0.1,0.15,0.242857143,0.192857143,0.128571429,0.15,0.035714286
fish1 MR,0.087719298,0.157894737,0.192982456,0.122807018,0.105263158,0.228070175,0.105263158
fish1 NR,0.112403101,0.131782946,0.251937984,0.244186047,0.089147287,0.135658915,0.034883721
fish2 HR,0,0,1,0,0,0,0
fish2 LR,0.104477612,0.134328358,0.28358209,0.179104478,0.059701493,0.208955224,0.029850746
fish2 MR,0.148148148,0.148148148,0.148148148,0.222222222,0.148148148,0.185185185,0
fish2 KR,0.097826087,0.111413043,0.239130435,0.168478261,0.08423913,0.154891304,0.144021739
fish2 NR,0.103053435,0.141221374,0.255725191,0.213740458,0.095419847,0.141221374,0.049618321
crab HR,0.181818182,0.181818182,0.090909091,0.136363636,0.181818182,0.227272727,0
crab LR,0.076923077,0.230769231,0.292307692,0.169230769,0.061538462,0.153846154,0.015384615
