A/C,UO,RO,RU,N,U,O,R
housedust HR,0.087452471,0.11026616,0.117870722,0.072243346,0.205323194,0.16730038,0.239543726
housedust KR,0,0,0,0,1,0,0
housedust NR,0.038461538,0.08974359,0.038461538,0.102564103,0.333333333,0.243589744,0.153846154
housedust LR,0.099009901,0.059405941,0.03960396,0.089108911,0.237623762,0.168316832,0.306930693
housedust MR,0.064285714,0.071428571,0.082142857,0.114285714,0.278571429,0.117857143,0.271428571
cottondust HR,0.136752137,0.051282051,0.128205128,0.094017094,0.239316239,0.128205128,0.222222222
cottondust KR,0,0,0,0,0.5,0,0.5
cottondust NR,0.057142857,0.1,0.047619048,0.042857143,0.285714286,0.166666667,0.3
cottondust LR,0.067567568,0.067567568,0.081081081,0.128378378,0.263513514,0.148648649,0.243243243
cottondust MR,0.06504065,0.101626016,0.097560976,0.117886179,0.223577236,0.166666667,0.227642276
aspergilus HR,0.075862069,0.117241379,0.089655172,0.082758621,0.179310345,0.234482759,0.220689655
aspergilus KR,0.111111111,0,0.111111111,0.111111111,0.111111111,0,0.555555556
aspergilus NR,0.095238095,0.079365079,0.058201058,0.100529101,0.275132275,0.148148148,0.243386243
aspergilus LR,0.055944056,0.090909091,0.055944056,0.062937063,0.314685315,0.132867133,0.286713287
aspergilus MR,0.067510549,0.071729958,0.11814346,0.113924051,0.248945148,0.135021097,0.244725738
pollen HR,0.086419753,0.102880658,0.102880658,0.094650206,0.205761317,0.156378601,0.251028807
pollen KR,0,0,0,0,0,0.5,0.5
pollen NR,0.034482759,0.086206897,0.034482759,0.086206897,0.172413793,0.25862069,0.327586207
pollen LR,0.084210526,0.063157895,0.063157895,0.115789474,0.263157895,0.084210526,0.326315789
pollen MR,0.070769231,0.08,0.086153846,0.089230769,0.301538462,0.156923077,0.215384615
parthenium HR,0.076712329,0.093150685,0.104109589,0.087671233,0.216438356,0.169863014,0.252054795
parthenium KR,0,0,0,0,0,1,0
parthenium NR,0.085714286,0.085714286,0.028571429,0.028571429,0.371428571,0.057142857,0.342857143
parthenium LR,0.035714286,0.035714286,0.089285714,0.160714286,0.25,0.196428571,0.232142857
parthenium MR,0.078947368,0.086466165,0.063909774,0.097744361,0.289473684,0.139097744,0.244360902
cockroach HR,0.079754601,0.095092025,0.09202454,0.128834356,0.245398773,0.125766871,0.233128834
cockroach KR,0,0,0,0,0.666666667,0.333333333,0
cockroach NR,0.106060606,0.090909091,0.03030303,0.075757576,0.348484848,0.121212121,0.227272727
cockroach LR,0.051948052,0.090909091,0.103896104,0.025974026,0.272727273,0.246753247,0.207792208
cockroach MR,0.067729084,0.071713147,0.083665339,0.075697211,0.227091633,0.175298805,0.298804781
cat dander HR,0,0.4,0,0,0.4,0.2,0
cat dander KR,0.073463268,0.077961019,0.083958021,0.100449775,0.253373313,0.15892054,0.251874063
cat dander NR,0.12195122,0.170731707,0.073170732,0.024390244,0.243902439,0.097560976,0.268292683
cat dander LR,0,0.125,0.25,0,0.125,0.25,0.25
cat dander MR,0,0,0,0,0.5,0,0.5
dos fur HR,0.2,0,0.4,0.2,0.2,0,0
dos fur KR,0.07165109,0.079439252,0.07788162,0.099688474,0.257009346,0.15576324,0.258566978
dos fur NR,0.038461538,0.076923077,0.115384615,0.038461538,0.269230769,0.192307692,0.269230769
dos fur LR,0.2,0.16,0.16,0.08,0.12,0.08,0.2
dos fur MR,0.04,0.2,0.08,0,0.28,0.24,0.16
Milk(P) HR,0,0.2,0,0,0.6,0.2,0
Milk(P) KR,0.111111111,0.080808081,0.04040404,0.404040404,0.111111111,0.090909091,0.161616162
Milk(P) NR,0.065088757,0.084812623,0.09270217,0.045364892,0.26035503,0.175542406,0.276134122
